,SEVERITYCODE,ADDRTYPE,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,JUNCTIONTYPE,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SPEEDING,ST_COLDESC,CROSSWALKKEY,HITPARKEDCAR,HOUROFDAY
SEVERITYCODE,1.0,0.191200646766418,-0.12629256825735,0.12379246575110793,0.244163900446319,0.2134774608210875,-0.07984822946977412,-0.19874039647213307,0.040399595956430646,0.039705444885795554,-0.08424842187479553,-0.033417077721198146,-0.036926267020523235,0.2060378176787998,0.033914198023406464,0.09901349726726746,0.17277719449069706,-0.08711986771957039,0.031488738137615435
ADDRTYPE,0.191200646766418,1.0,-0.4822318157759276,0.05958720354820206,0.14321708344275758,0.08247962443318457,-0.09004302811291137,-0.9191403322156457,-0.08347119862248925,-0.04752690913328248,-0.0699453083941407,-0.018597949472804083,-0.0333250343970173,0.15525794660712133,-0.0650890115038366,-0.16827540916206726,0.17612028011801878,-0.11450095080352318,0.041482077422204174
COLLISIONTYPE,-0.12629256825735,-0.4822318157759276,1.0,0.015784686253438394,0.09346251331874447,-0.21199573418518328,0.1049747575303049,0.4825098141968341,0.1227792574604948,0.005498178416061656,0.01896291802109589,-0.0066162352187536045,0.02514084102796157,-0.02056410730790035,-0.002296102906710027,0.3612381469742593,0.03351675158115731,0.03265821398902281,-0.005693643078088916
PERSONCOUNT,0.12379246575110793,0.05958720354820206,0.015784686253438394,1.0,-0.026629137491569872,-0.04253360710592638,0.3997145789604048,-0.06982993669783019,0.07111097372187056,0.018098356006780357,-0.050895353905702274,-0.023666678300028936,-0.027322533123391755,-0.0317311819395436,-0.007834937640564714,-0.06791628942149443,-0.0343626933552312,-0.042440921313604225,0.030907130774080496
PEDCOUNT,0.244163900446319,0.14321708344275758,0.09346251331874447,-0.026629137491569872,1.0,-0.018562422296751712,-0.3159813080781344,-0.13042377875322045,-0.00824048739543068,0.014795290624500298,-0.004350669234352103,0.009656789590245834,-0.03513492722469803,0.49680112404867877,-0.035002748077391926,0.564381728584372,0.5687356938564399,-0.031187152261803314,0.025824545704866128
PEDCYLCOUNT,0.2134774608210875,0.08247962443318457,-0.21199573418518328,-0.04253360710592638,-0.018562422296751712,1.0,-0.30628233951525935,-0.08759978259049958,0.0010435298795950453,-0.018474512077028594,-0.05005865862758052,-0.04735656190181774,0.01900101312785524,0.325584760406876,-0.022378367494947177,0.3574008890795979,0.10944367683271501,-0.02737924224457384,0.022931483907633766
VEHCOUNT,-0.07984822946977412,-0.09004302811291137,0.1049747575303049,0.3997145789604048,-0.3159813080781344,-0.30628233951525935,1.0,0.08832817729915725,0.051240249606404546,-0.011347191500401976,-0.012245693292843581,-0.01782467971379741,0.03469720009345008,-0.27755613718948235,-0.04884531537137844,-0.21636766574297278,-0.2368498779804141,0.07398725232402145,0.010128772752304952
JUNCTIONTYPE,-0.19874039647213307,-0.9191403322156457,0.4825098141968341,-0.06982993669783019,-0.13042377875322045,-0.08759978259049958,0.08832817729915725,1.0,0.07203452187134804,0.057061095380626925,0.0813280352239832,0.02530218480099429,0.026614521543805367,-0.1536238234695014,0.0671512645965795,0.17263998909751907,-0.16008351671440715,0.13785982208173317,-0.03351397066679152
INATTENTIONIND,0.040399595956430646,-0.08347119862248925,0.1227792574604948,0.07111097372187056,-0.00824048739543068,0.0010435298795950453,0.051240249606404546,0.07203452187134804,1.0,-0.030593043257807404,-0.07454778277965134,-0.05076241391734914,0.011342683156567841,-0.03037958512378161,-0.05407099433131972,0.024330089153978784,-0.004677203135779789,0.019401397341631755,0.026331791131673277
UNDERINFL,0.039705444885795554,-0.04752690913328248,0.005498178416061656,0.018098356006780357,0.014795290624500298,-0.018474512077028594,-0.011347191500401976,0.057061095380626925,-0.030593043257807404,1.0,-0.03386066762294529,-0.007447157369636397,-0.21866003683225044,-0.01946954900072346,0.09049474290450867,-0.006102104604221878,-0.01066060496094127,0.02289330771878172,-0.0307346802888702
WEATHER,-0.08424842187479553,-0.0699453083941407,0.01896291802109589,-0.050895353905702274,-0.004350669234352103,-0.05005865862758052,-0.012245693292843581,0.0813280352239832,-0.07454778277965134,-0.03386066762294529,1.0,0.7495293872324161,0.14044759894787245,-0.009420441310260593,0.05184109043738106,0.035161019377579254,-0.00025009717282924827,0.017033812168909437,-0.027889277001772128
ROADCOND,-0.033417077721198146,-0.018597949472804083,-0.0066162352187536045,-0.023666678300028936,0.009656789590245834,-0.04735656190181774,-0.01782467971379741,0.02530218480099429,-0.05076241391734914,-0.007447157369636397,0.7495293872324161,1.0,-0.017991334921690184,0.0021797645169019334,0.09576704704398536,-0.017557061223713078,0.01171432871998508,-0.0031300181454154818,-0.023917384880256548
LIGHTCOND,-0.036926267020523235,-0.0333250343970173,0.02514084102796157,-0.027322533123391755,-0.03513492722469803,0.01900101312785524,0.03469720009345008,0.026614521543805367,0.011342683156567841,-0.21866003683225044,0.14044759894787245,-0.017991334921690184,1.0,-0.009389154719871761,-0.09700857834713762,0.044615456365283995,-0.01875448934336294,-0.0012158550575295099,-0.04215475056877722
PEDROWNOTGRNT,0.2060378176787998,0.15525794660712133,-0.02056410730790035,-0.0317311819395436,0.49680112404867877,0.325584760406876,-0.27755613718948235,-0.1536238234695014,-0.03037958512378161,-0.01946954900072346,-0.009420441310260593,0.0021797645169019334,-0.009389154719871761,1.0,-0.030461616071447276,0.44081535087673757,0.45320630016005997,-0.02778488691775295,0.013348265602893396
SPEEDING,0.033914198023406464,-0.0650890115038366,-0.002296102906710027,-0.007834937640564714,-0.035002748077391926,-0.022378367494947177,-0.04884531537137844,0.0671512645965795,-0.05407099433131972,0.09049474290450867,0.05184109043738106,0.09576704704398536,-0.09700857834713762,-0.030461616071447276,1.0,-0.08314072979586946,-0.02674632688274288,-0.022223506561497033,-0.03391851628723704
ST_COLDESC,0.09901349726726746,-0.16827540916206726,0.3612381469742593,-0.06791628942149443,0.564381728584372,0.3574008890795979,-0.21636766574297278,0.17263998909751907,0.024330089153978784,-0.006102104604221878,0.035161019377579254,-0.017557061223713078,0.044615456365283995,0.44081535087673757,-0.08314072979586946,1.0,0.4043238522786571,0.10587445208081782,0.005502867244037324
CROSSWALKKEY,0.17277719449069706,0.17612028011801878,0.03351675158115731,-0.0343626933552312,0.5687356938564399,0.10944367683271501,-0.2368498779804141,-0.16008351671440715,-0.004677203135779789,-0.01066060496094127,-0.00025009717282924827,0.01171432871998508,-0.01875448934336294,0.45320630016005997,-0.02674632688274288,0.4043238522786571,1.0,-0.0236443678769799,0.029859614613145843
HITPARKEDCAR,-0.08711986771957039,-0.11450095080352318,0.03265821398902281,-0.042440921313604225,-0.031187152261803314,-0.02737924224457384,0.07398725232402145,0.13785982208173317,0.019401397341631755,0.02289330771878172,0.017033812168909437,-0.0031300181454154818,-0.0012158550575295099,-0.02778488691775295,-0.022223506561497033,0.10587445208081782,-0.0236443678769799,1.0,0.031115132474982665
HOUROFDAY,0.031488738137615435,0.041482077422204174,-0.005693643078088916,0.030907130774080496,0.025824545704866128,0.022931483907633766,0.010128772752304952,-0.03351397066679152,0.026331791131673277,-0.0307346802888702,-0.027889277001772128,-0.023917384880256548,-0.04215475056877722,0.013348265602893396,-0.03391851628723704,0.005502867244037324,0.029859614613145843,0.031115132474982665,1.0
